SourceFile	Instrument	SerialNumber	DeconvolutionEngine	StartTimeStamp	RTDuration	mzMLMS1Count	mzMLMSnCount	DeconvMSnWithPeaksCount	DeconvMSnWithoutPeaksCount	DeconvMSnWithPeaksFraction	Redundancy	HighestDegree	LargestComponentSize	ComponentCount	mzMLHCDCount	mzMLCIDCount	mzMLETDCount	mzMLECDCount	mzMLEThcDCount	mzMLETciDCount	mzMLPreZMin	mzMLPreZQ1	mzMLPreZQ2	mzMLPreZQ3	mzMLPreZMax	DeconvPreZMin	DeconvPreZQ1	DeconvPreZQ2	DeconvPreZQ3	DeconvPreZMax	DeconvPreMassMin	DeconvPreMassQ1	DeconvPreMassQ2	DeconvPreMassQ3	DeconvPreMassMax	mzMLPeakCountMin	mzMLPeakCountQ1	mzMLPeakCountQ2	mzMLPeakCountQ3	mzMLPeakCountMax	DeconvPeakCountMin	DeconvPeakCountQ1	DeconvPeakCountQ2	DeconvPeakCountQ3	DeconvPeakCountMax	AALinkCountMin	AALinkCountQ1	AALinkCountQ2	AALinkCountQ3	AALinkCountMax	TagLengthMin	TagLengthQ1	TagLengthQ2	TagLengthQ3	TagLengthMax	AALinkCountAbove2	TagLengthAbove2
20160201_F_MaD_EcoliK12_01	Orbitrap Fusion	CAL-MP16	TopFD	2016-02-01T12:10:37Z	96.65699	1152	1098	1057	41	0.96265936	0.0009191967	26	32	893	1098	0	0	0	0	0	5	8	11	15	25	0	7	10	16	30	701.20627	6466.413	8348.10134	12761.94462	27537.64091	221	402	876	1709	5633	0	10	54	142	395	0	0	4	20	274	0	0	1	4	15	557	376
20160201_F_MaD_EcoliK12_01bis	Orbitrap Fusion	CAL-MP16	TopFD	2016-02-01T14:13:26Z	95.86858	1041	1249	1207	42	0.9663731	0.0012242021	25	32	912	1249	0	0	0	0	0	5	9	12	16	25	0	8	12	17	30	703.51638	7267.73635	10098.37561	14861.02535	26253.26171	235	835	2079	3347	7392	0	30	132	218	417	0	1	14	57	294	0	1	3	6	20	817	619
20160201_F_MaD_EcoliK12_02	Orbitrap Fusion	CAL-MP16	TopFD	2016-02-01T16:16:15Z	100.03537	1186	1206	1181	25	0.97927034	0.0020149543	24	36	762	1206	0	0	0	0	0	5	9	12	16	25	0	8	12	17	30	701.81637	7327.77901	10320.68055	14970.33225	31954.07531	222	797	2224	3536	7499	0	34	143	218	405	0	2	25	82	262	0	1	4	6	18	853	713
20160201_F_MaD_EcoliK12_03	Orbitrap Fusion	CAL-MP16	TopFD	2016-02-01T22:25:03Z	99.981674	1191	1192	1134	58	0.9513423	0.0018290471	16	25	742	1192	0	0	0	0	0	5	9	12	16	25	0	8	12	16	30	701.81638	7265.72947	9931.21732	13986.51378	28456.11701	223	494	1400	2600	6893	0	12	97	178	396	0	1	19	72	242	0	1	3	6	16	742	633
20160201_F_MaD_EcoliK12_04	Orbitrap Fusion	CAL-MP16	TopFD	2016-02-02T00:27:54Z	100.00537	1097	1107	1087	20	0.9819332	0.0014943049	19	31	759	0	0	1107	0	0	0	5	9	12	16	25	0	8	11	16	30	701.8164	7211.85803	9718.37584	13751.3454	29820.18014	227	2391	3447	4220	5870	0	105	157	229	407	0	3	14	43	130	0	1	2	4	20	806	489
20160201_F_MaD_EcoliK12_05	Orbitrap Fusion	CAL-MP16	TopFD	2016-02-02T06:36:24Z	100.051025	1185	1007	977	30	0.9702085	0.0028462003	35	44	619	0	0	1007	0	0	0	5	9	12	16	25	0	8	12	17	30	701.81623	7269.00034	10255.67992	14002.5021	28456.08459	236	1418	2417	3305	4184	0	57	137	199	382	0	3	20	52	187	0	1	3	6	19	723	527
